Country Name,Country Code,Time,Time Code,Labor force with primary education (% of total) [SL.TLF.PRIM.ZS],Labor force with tertiary education (% of total) [SL.TLF.TERT.ZS],Labor force with secondary education (% of total) [SL.TLF.SECO.ZS],Scientific and technical journal articles [IP.JRN.ARTC.SC],"Trademark applications, total [IP.TMK.TOTL]",General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],Net official development assistance and official aid received (constant 2012 US$) [DT.ODA.ALLD.KD],"Agriculture, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry, value added (% of GDP) [NV.IND.TOTL.ZS]","Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]","Services, etc., value added (% of GDP) [NV.SRV.TETC.ZS]","Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]",GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]",Final consumption expenditure (constant LCU) [NE.CON.TOTL.KN],Gross national expenditure (constant LCU) [NE.DAB.TOTL.KN],Discrepancy in expenditure estimate of GDP (constant LCU) [NY.GDP.DISC.KN],"Wage and salaried workers, total (% of total employed) [SL.EMP.WORK.ZS]",Lending interest rate (%) [FR.INR.LEND],"Portfolio Investment, net (BoP, current US$) [BN.KLT.PTXL.CD]","Net capital account (BoP, current US$) [BN.TRF.KOGT.CD]",Gross capital formation (annual % growth) [NE.GDI.TOTL.KD.ZG],GDP (constant LCU) [NY.GDP.MKTP.KN],Exogenous spending,Compensation of employees (current LCU) [GC.XPN.COMP.CN],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Capital-labour ratio,Gross capital formation (current LCU) [NE.GDI.TOTL.CN]
Afghanistan,AFG,1977,YR1977,..,..,..,..,..,..,291110000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16499999744.000000000
Afghanistan,AFG,1978,YR1978,..,..,..,..,..,..,244880000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20600000512.000000000
Afghanistan,AFG,1979,YR1979,..,..,..,..,..,..,282130000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,1980,YR1980,..,..,..,..,..,..,77980000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,1981,YR1981,..,..,..,..,..,..,60740000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,1982,YR1982,..,..,..,..,..,..,25810000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,1983,YR1983,..,..,..,..,..,..,43040000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,1984,YR1984,..,..,..,..,..,..,20030000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,1985,YR1985,..,..,..,..,..,..,45470000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,1986,YR1986,..,..,..,4,..,..,7800000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,1987,YR1987,..,..,..,2,..,..,80610000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,1988,YR1988,..,..,..,5,..,..,124620000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,1989,YR1989,..,..,..,1,..,..,257830000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,1990,YR1990,..,..,..,0,..,..,192160000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,1991,YR1991,..,..,..,1,..,..,788250000,..,..,..,..,8.600000381,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,1992,YR1992,..,..,..,1,..,..,305720000,..,..,..,..,8.600000381,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,1993,YR1993,..,..,..,0,..,..,348350000,..,..,..,..,8.600000381,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,1994,YR1994,..,..,..,0,..,..,342410000,..,..,..,..,8.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,1995,YR1995,..,..,..,1,..,..,294450000,..,..,..,..,8.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,1996,YR1996,..,..,..,0,..,..,234580000,..,..,..,..,8.399999619,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,1997,YR1997,..,..,..,0,..,..,355270000,..,..,..,..,8.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,1998,YR1998,..,..,..,0.2,..,..,256920000,..,..,..,..,8.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,1999,YR1999,..,..,..,1,..,..,218380000,..,..,..,..,8.399999619,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,2000,YR2000,..,..,..,0,..,..,234980000,..,..,..,..,8.300000191,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,2001,YR2001,..,..,..,0,..,..,733340000,..,..,..,..,8.399999619,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,2002,YR2002,..,..,..,0,..,8.364661017,1975960000,38.47194003,23.71409715,18.74684355,37.81396282,8.300000191,..,1088.031929,..,..,..,..,..,..,..,..,185470260100.000000000,..,..,..,..,22874693500.000000000
Afghanistan,AFG,2003,YR2003,..,..,..,1.2,..,9.778536544,2115740000,37.76544351,22.92120752,17.08061159,39.31334897,8.199999809,8.444163227,1126.420358,..,..,..,..,..,..,..,..,201131671600.000000000,..,..,..,..,37851570500.000000000
Afghanistan,AFG,2004,YR2004,..,..,..,2.8,..,10.57061198,2799440000,30.27167447,26.71254027,17.87912678,43.01578526,8.5,1.055555787,1090.23547,..,..,..,..,..,..,..,..,203254728600.000000000,..,..,..,..,47468729700.000000000
Afghanistan,AFG,2005,YR2005,..,..,..,3.9,..,10.55824799,3314530000,31.75099054,27.36021761,16.93752863,40.88879185,8.5,11.17527024,1167.359685,..,..,..,..,..,..,..,..,225968993800.000000000,..,..,1268626872.000000000,..,67171097400.000000000
Afghanistan,AFG,2006,YR2006,..,..,..,4,..,11.45192605,3370310000,29.24973678,28.81546556,16.736761,41.93479766,8.800000191,5.554137623,1193.852799,..,..,..,..,17.970000000,..,..,..,238519622700.000000000,..,26331224208.000000000,7254895561.000000000,3.125026537,82285774400.000000000
Afghanistan,AFG,2007,YR2007,..,..,..,3.8,..,10.92977525,5322550000,30.62285367,27.34470326,18.05262075,42.03244307,8.399999619,13.74020499,1321.477595,..,..,..,..,18.135000000,..,..,..,271292707800.000000000,..,33218848622.000000000,8482889268.000000000,2.932623165,97418365000.000000000
Afghanistan,AFG,2008,YR2008,..,..,..,6.6,..,13.30929321,5049140000,25.39474053,27.4589328,18.19920737,47.14632667,8.899999619,3.611368392,1335.591449,..,..,..,..,14.917500000,15250111.389343900,1767679311.786740000,..,281090086900.000000000,..,47962990763.000000000,3055494061.000000000,2.042589754,97968713500.000000000
Afghanistan,AFG,2009,YR2009,..,..,..,11.7,..,11.67321596,6578860000,30.20560247,22.57588356,13.5574931,47.21851397,8.100000381,21.02064874,1576.02987,..,..,..,..,15.000000000,337974.535871567,2599909743.540490000,..,340177046700.000000000,..,63579897947.000000000,-8283078395.000000000,173092.445180927,11005200000000000.000000000
Afghanistan,AFG,2010,YR2010,..,..,..,5.5,..,14.33605992,6684830000,27.09154001,21.86234073,12.94328462,51.04611926,8.699999809,8.433290482,1662.803526,..,..,..,..,15.690000000,9431320.641710510,2865279502.322060000,..,368865165200.000000000,..,85992779309.000000000,892536936.000000000,151668.548275832,13042400000000000.000000000
Afghanistan,AFG,2011,YR2011,..,..,..,7.7,..,12.83207191,6831560000,24.50744042,23.47175158,14.22243254,52.020808,8.899999619,6.113685169,1712.58872,..,..,..,..,15.145833333,79925519.058532600,2307128976.825420000,..,391416420100.000000000,..,11112200000000000.000000000,1020166014.000000000,1.276002952,14179200000000000.000000000
Afghanistan,AFG,2012,YR2012,..,..,..,..,..,12.35979502,6725930000,24.60324707,21.84732495,12.82946486,53.54942798,8.5,14.43474129,1899.299559,..,..,..,..,15.000000000,42836873.799721500,2386140173.777250000,..,447916367700.000000000,..,12545900000000000.000000000,7218257761.000000000,1.422361090,17844800000000000.000000000
Afghanistan,AFG,2013,YR2013,..,..,..,..,..,12.00808005,5369930000,23.89137214,21.15326822,12.02910537,54.95535964,9.199999809,1.959122899,1876.190879,..,..,..,..,15.079166667,29232875.926443600,2796868752.630390000,..,456691599828.754000000,..,..,7654316567.000000000,..,19526200000000000.000000000
Afghanistan,AFG,2014,YR2014,..,..,..,..,..,12.76521357,..,23.46312554,22.32921632,12.2816924,54.20765814,9.100000381,1.312530908,1844.021503,..,..,..,..,15.000000000,-26953978.724626100,2103467455.153360000,..,462685818229.985000000,..,..,4604334009.000000000,..,20988200000000000.000000000
Afghanistan,AFG,2015,YR2015,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-1533846583.000000000,..,..
Albania,ALB,1960,YR1960,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,1961,YR1961,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,1962,YR1962,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,1963,YR1963,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,1964,YR1964,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,1965,YR1965,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,1966,YR1966,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,1967,YR1967,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,1968,YR1968,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,1970,YR1970,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,1971,YR1971,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,1972,YR1972,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,1973,YR1973,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,1974,YR1974,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,1975,YR1975,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,1976,YR1976,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,1978,YR1978,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,1979,YR1979,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,1980,YR1980,..,..,..,..,..,8.984425338,..,33.60020616,44.999999,..,21.39979483,..,..,..,..,..,..,..,..,..,..,..,318307090031.659000000,..,..,..,..,5368000000.000000000
Albania,ALB,1981,YR1981,..,..,..,..,..,8.536054306,..,32.40029884,43.00006186,..,24.5996393,..,5.745635266,..,..,..,..,..,..,..,..,..,336595854451.016000000,..,..,..,..,5645000200.000000000
Albania,ALB,1982,YR1982,..,..,..,..,..,8.58921603,..,31.69971047,43.80017045,..,24.50011908,..,2.948596802,..,..,..,..,..,..,..,..,..,346520709052.131000000,..,..,..,..,6272999900.000000000
Albania,ALB,1983,YR1983,..,..,..,..,..,8.77780451,..,34.10009748,43.30004981,..,22.59985271,..,1.104938266,..,..,..,..,..,..,..,..,..,350349548966.070000000,..,..,..,..,6032999900.000000000
Albania,ALB,1984,YR1984,..,..,..,..,..,9.412477229,..,33.09994105,43.99999913,..,22.90005982,..,-1.251596644,..,..,..,..,..,..,..,..,..,345964585769.142000000,..,..,..,..,5247000100.000000000
Albania,ALB,1985,YR1985,..,..,..,..,..,9.304393864,..,34.60001209,43.30012615,..,22.09986176,..,1.780643958,..,..,..,..,..,..,..,..,..,352124983262.171000000,..,..,..,..,5522999800.000000000
Albania,ALB,1986,YR1986,..,..,..,0,..,9.27544503,..,34.00000038,44.20011475,..,21.79988487,..,5.637243196,..,..,..,..,..,..,..,..,..,371975124921.124000000,..,..,..,..,5375000100.000000000
Albania,ALB,1987,YR1987,..,..,..,1,..,9.64469992,..,33.20002472,45.80015166,..,20.99982361,..,-0.787842649,..,..,..,..,..,..,..,..,..,369044546244.409000000,..,..,..,..,4903000100.000000000
Albania,ALB,1988,YR1988,..,..,..,2,..,9.46025341,9390000,31.49988182,46.29997531,..,22.20014287,..,-1.420039678,..,..,..,..,..,..,..,..,..,363803967257.628000000,..,..,..,..,4915999700.000000000
Albania,ALB,1989,YR1989,..,..,..,11,..,8.81109153,18490000,32.3001977,44.80006341,..,22.89973889,..,9.836548993,..,..,..,..,..,..,..,..,..,399589722733.960000000,..,..,..,..,5926000100.000000000
Albania,ALB,1990,YR1990,..,..,..,6,..,18.521382,16560000,35.90078991,48.20079786,..,15.89841223,..,-9.575640187,4303.373891,..,..,..,..,..,..,..,..,361326448659.059000000,..,..,..,..,4927105000.000000000
Albania,ALB,1991,YR1991,..,..,..,15,..,22.07998151,479920000,39.29529516,42.6969058,..,18.00779904,11.80000019,-29.58899768,3048.36928,..,..,..,..,..,..,..,..,254413574141.710000000,..,..,..,..,1203850000.000000000
Albania,ALB,1992,YR1992,..,..,..,8,..,19.67989199,583960000,51.64187027,23.32055881,..,25.03757092,14.60000038,-7.199999987,2846.094167,..,..,..,..,20.583333333,..,..,..,236095796837.830000000,..,..,2260054213.000000000,..,2768059900.000000000
Albania,ALB,1993,YR1993,..,..,..,12,..,14.12877027,414480000,54.64097649,22.90170682,..,22.45731668,17.89999962,9.600000012,3138.410411,..,..,..,..,29.583333333,..,..,..,258760993362.425000000,..,..,8500475124.000000000,..,16544879600.000000000
Albania,ALB,1994,YR1994,..,..,..,17,34,13.85217959,233410000,53.62098061,21.73068405,..,24.64833534,17.60000038,8.299999997,3419.827825,..,..,..,..,23.666666667,..,..,..,280238155803.035000000,..,..,2256505269.000000000,..,33632489500.000000000
Albania,ALB,1995,YR1995,..,..,..,15.1,1063,13.64613278,236850000,55.81214471,22.49794167,..,21.68991362,16.89999962,13.29999999,3898.672945,..,..,..,..,19.650000000,..,389400000.000000000,..,317509830486.555000000,..,8206000000.000000000,7793218538.000000000,5.751456166,47196449300.000000000
Albania,ALB,1996,YR1996,..,..,..,18.6,2663,9.195024092,301840000,37.47960475,15.34384549,9.10494041,47.17654977,15.60000038,9.1,4279.970195,369642264442.466000000,418554404568.645000000,-24367153945.602000000,..,23.958333333,..,4800000.000000000,..,346403225060.831000000,47784025562.211700000,9518736000.000000000,1272547781.000000000,7.698426984,73279294072.000000000
Albania,ALB,1997,YR1997,..,..,..,10.4,2839,10.15808341,245530000,32.70015992,15.37765137,8.107775939,51.92218871,14.5,-10.83785573,3840.055112,283610348554.069000000,378728591222.176000000,-9211534139.643580000,..,..,..,2000000.000000000,-17.393902815,308860543269.498000000,60656513813.034500000,..,3318027438.000000000,..,70939388889.000000000
Albania,ALB,1998,YR1998,..,..,..,14.5,2832,10.26051707,396920000,30.47521817,13.10984528,7.024420206,56.41493655,16,9.00885254,4212.427022,264533656138.763000000,412308234241.791000000,864527644.101920000,..,..,..,31000000.000000000,9.372933149,336685334165.483000000,76487427720.410200000,12316653000.000000000,2064285887.000000000,6.984872385,86030249420.000000000
Albania,ALB,1999,YR1999,..,..,..,15.9,2557,9.971324341,741420000,27.11773208,13.97474634,6.755369052,58.90752158,16,13.50117338,4811.531743,273045636466.709000000,445052640538.718000000,2168374811.878230000,..,21.615000000,..,22600000.000000000,29.829863497,382141804861.420000000,65079210489.176200000,..,389437654.000000000,..,10839900000000000.000000000
Albania,ALB,2000,YR2000,..,..,..,6.7,2735,9.454982508,508790000,26.49046231,16.70537204,7.197241179,56.80416565,13.5,6.666620515,5165.113824,278064864477.275000000,492974430342.990000000,7910550245.220070000,..,22.102500000,25000000.000000000,78000000.000000000,38.114658109,407617748819.427000000,93267231768.782700000,..,50018136.000000000,..,16598400000000000.000000000
Albania,ALB,2001,YR2001,56.90000153,8,33.40000153,10.3,2820,10.39950539,437770000,24.45305457,18.31487552,6.643187169,57.23206991,22.70000076,7.940331421,5627.809251,280016820867.064000000,538461593705.023000000,4661162604.714250000,..,19.654166667,23500000.000000000,117700000.000000000,24.606094913,439983949007.255000000,103138807302.483000000,..,310758827.000000000,..,2237800000000000.000000000
Albania,ALB,2002,YR2002,60.09999847,7.900000095,29.89999962,16.8,2414,11.17241002,468080000,24.23593287,19.59607192,6.362479879,56.16799521,13.39999962,4.231371012,5883.559737,300630625778.832000000,579876597409.241000000,2953714251.465030000,..,15.304166667,36820000.000000000,121220000.000000000,4.496935906,458601302282.877000000,124229009377.829000000,46345230548.000000000,7770525834.000000000,509267.074970210,23602100000000000.000000000
Albania,ALB,2003,YR2003,..,..,..,8.9,2413,10.88974773,474100000,24.33269861,23.18329798,8.302413048,52.48400341,12.69999981,5.77349057,6246.574342,328791889828.295000000,615121552132.267000000,-7151645043.482030000,..,14.270833333,22485018.000000000,156951609.000000000,17.951895732,485078605222.613000000,122891301866.172000000,45557440000.000000000,484002612.000000000,616630.346217874,28092100000000000.000000000
Albania,ALB,2004,YR2004,..,..,..,7.3,2668,10.98288257,364060000,22.93252109,24.5815827,9.457842482,52.48589621,12.60000038,5.709556581,6630.88074,358820564505.127000000,639289953236.735000000,-15654924395.234800000,..,11.761521834,3641326.000000000,132406711.620000000,2.715460622,512774442651.162000000,110860586190.338000000,49893913740.000000000,2280019169.000000000,559944.047395950,27937800000000000.000000000
Albania,ALB,2005,YR2005,..,..,..,9,3702,10.86258684,377460000,21.2343279,25.21651099,10.18624131,53.5491611,12.5,5.720819953,7046.191075,378904214120.294000000,680773479508.222000000,-5338340742.932260000,..,13.075000000,5664561.022097620,122908636.481470000,4.852307392,542109345278.022000000,133325793487.268000000,..,2366581957.000000000,..,30135400000000000.000000000
Albania,ALB,2006,YR2006,..,..,..,10.2,3885,10.13492942,365780000,20.22234444,26.40523314,10.76359809,53.37242241,12.39999962,5.431012734,7475.888354,392994916952.525000000,707138020007.731000000,-13006768214.448000000,..,12.939942862,-34157087.661314400,179797615.432053000,12.986541804,571551372852.163000000,122579878941.120000000,..,2370728319.000000000,..,34388200000000000.000000000
Albania,ALB,2007,YR2007,..,..,..,12.3,4163,10.16376357,316650000,19.8747976,25.33435489,8.835850079,54.79084751,13.5,5.9,7977.022406,432378276575.582000000,769654666117.567000000,-11660711355.732400000,34.599998474,14.099622787,-25810000.000000000,123637772.184600000,5.454474020,605272903850.441000000,152721050911.394000000,..,2932682482.000000000,..,37405800000000000.000000000
Albania,ALB,2008,YR2008,..,..,..,13.5,4596,10.37895682,349590000,19.42053473,29.0216757,5.764607144,51.55778957,13,7.53,8643.765691,476189210046.789000000,812404083078.143000000,-11028134341.538700000,40.400001526,13.019642713,26097037.296925700,115299006.116903000,5.196326643,650849953510.379000000,150525995226.225000000,..,3359242418.000000000,..,38664900000000000.000000000
Albania,ALB,2009,YR2009,51.20000076,12.69999981,35.09999847,8,4023,11.10942976,351790000,19.40978082,28.21559469,6.006989461,52.37462448,13.80000019,3.35,8993.736336,481148925665.387000000,818240894948.741000000,-10890227880.542600000,41.099998474,12.660935154,-15080204.379394000,118799141.136660000,1.454976579,672653426952.977000000,134697240115.221000000,..,2280502222.000000000,..,39531900000000000.000000000
Albania,ALB,2010,YR2010,..,..,..,18.3,3848,11.15736441,343950000,20.65818885,28.69054657,6.27265951,50.65126458,14.19999981,3.71,9373.826105,490491366319.790000000,803112682621.388000000,7831787514.063190000,43.799999237,12.822329885,-320235140.057537000,112270499.167899000,-6.888790516,697608869092.932000000,113335601042.519000000,..,3552267388.000000000,..,3757200000000000.000000000
Albania,ALB,2011,YR2011,45.79999924,12.19999981,37,26.9,3834,10.97416481,331590000,20.95812415,28.1535016,6.510345206,50.88837425,14,2.55,9640.130812,498515597385.906000000,823591444126.575000000,14009173853.641900000,39.000000000,12.432098599,-93408406.908904700,118286540.208802000,6.450499545,715397895254.802000000,122202722725.415000000,..,3450347153.000000000,..,40857300000000000.000000000
Albania,ALB,2012,YR2012,46,13.30000019,35.70000076,..,2700,10.84481587,341620000,21.66068032,26.4525978,5.325983018,51.88672188,13.89999962,1.42,9791.484849,499132974200.784000000,807669086210.890000000,10809189021.475800000,35.700000763,10.880346543,42941668.398398900,103967150.290094000,-7.944642007,725556545367.420000000,92921729864.945800000,..,203159594.000000000,..,37756600000000000.000000000
Albania,ALB,2013,YR2013,44.79999924,16.29999924,34.5,..,3308,10.86943195,288400000,22.50308997,26.36833087,5.575386801,51.12857916,16,1.11,9910.841483,508412005448.705000000,808234504081.858000000,4410713237.139730000,40.200000763,9.826604344,151415892.080038000,63711121.815637600,2.795045163,733610223020.999000000,79034994297.998700000,..,1937617549.000000000,..,38299900000000000.000000000
Albania,ALB,2014,YR2014,..,..,..,..,..,11.19568812,..,22.64963423,25.15507837,5.568730909,52.1952874,16.10000038,2.17,10136.02049,528124532456.107000000,833306330790.530000000,66214397900.000000000,..,8.658617478,151013462.485591000,115190264.971593000,-13.566755168,749529564860.554000000,149991163829.976000000,..,1631777988.000000000,..,3450500000000000.000000000
Albania,ALB,2015,YR2015,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1887809532.000000000,..,..
