"Country","Labor force with primary education (% of total) [SL.TLF.PRIM.ZS]","Labor force with secondary education (% of total) [SL.TLF.SECO.ZS]","Labor force with tertiary education (% of total) [SL.TLF.TERT.ZS]","Scientific and technical journal articles [IP.JRN.ARTC.SC]","Trademark applications, total [IP.TMK.TOTL]","General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS]","Net official development assistance and official aid received (constant 2012 US$) [DT.ODA.ALLD.KD]","Agriculture, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry, value added (% of GDP) [NV.IND.TOTL.ZS]","Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]","Services, etc., value added (% of GDP) [NV.SRV.TETC.ZS]","Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]","GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Previous GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","Previous GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","__ProcessingTime__"
QAT,,,,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.256221923
BDI,,,,0.0,0.2,0.375,0.25,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.0,0.591398683
NLD,0.0,0.0,0.0,0.0,0.0,0.375,,0.16666666666666666,0.2857142857142857,0.16666666666666666,0.4,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.568023085
IRQ,,,,0.3333333333333333,0.0,0.3333333333333333,0.7142857142857143,,,,,0.6666666666666666,0.4,0.0,0.5,0.0,0.347557911
SVK,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506429671
SVN,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.375,0.3333333333333333,0.0,1.516973854
GNQ,,,,0.3333333333333333,,0.625,0.2,,,,,0.0,0.5,0.0,0.5,0.0,0.321722384
THA,0.0,0.0,0.0,0.25,0.42857142857142855,0.375,0.125,0.25,0.625,0.5,0.25,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,0.814612755
ABW,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.102687798
ASM,,,,,,,,,,,,,,,,,0.075599508
SWE,0.0,0.0,0.5,0.0,0.5,0.375,,0.2,0.2,0.16666666666666666,0.0,0.0,0.125,0.0,0.125,0.0,0.663955197
ISL,0.0,0.0,0.0,0.0,0.6,0.375,,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.125,0.0,0.364276424
LIC,,,,0.0,,0.25,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.824448483
MKD,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.934525757
BEL,0.0,0.0,0.0,0.25,0.5,0.25,,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.2857142857142857,0.0,0.569351082
ISR,0.0,0.0,0.0,0.3333333333333333,0.375,0.125,0.2857142857142857,,,,,0.0,0.5,0.3333333333333333,0.5,0.0,0.373797535
KWT,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.4,0.0,0.40237227
LIE,,,,0.0,0.2857142857142857,,,,0.0,,,,0.0,,0.0,,0.246031113
DZA,,,,0.0,0.625,0.375,0.75,0.25,0.0,0.0,0.0,0.0,0.125,0.0,0.625,0.0,3.774463358
BEN,,,,0.0,,0.14285714285714285,0.0,0.2857142857142857,0.5,0.4,0.375,0.0,0.125,0.0,0.25,0.0,0.463965114
RUS,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.491303614
ATG,,,,0.5,0.0,0.0,0.16666666666666666,0.4,0.0,0.3333333333333333,0.0,,0.0,0.0,0.0,0.25,0.720244602
ITA,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.25,0.7142857142857143,0.25,,0.0,0.5,0.3333333333333333,0.5,0.0,0.5,0.0,0.25,0.0,0.735923516
SWZ,,,,0.0,0.0,0.14285714285714285,0.2857142857142857,0.25,0.25,0.25,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.575470128
TZA,,,,0.0,0.0,0.0,0.25,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.550120773
PAK,0.0,0.0,0.0,0.25,0.6,0.2857142857142857,0.25,0.2857142857142857,0.25,0.125,0.25,0.0,0.25,0.0,0.25,0.0,1.215275157
BFA,,,,0.0,0.0,0.125,0.14285714285714285,0.25,0.25,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.501888834
PAN,0.5,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.5,0.4,0.0,0.0,0.25,0.0,0.42857142857142855,0.0,0.375,0.5,2.008316226
SGP,0.0,0.8,0.25,0.2,0.5,0.2857142857142857,0.4,0.5,0.2857142857142857,0.0,0.3333333333333333,0.0,0.0,0.0,0.25,0.0,0.636525504
UKR,,,,0.0,0.25,0.3333333333333333,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.540834483
KGZ,0.0,0.0,0.0,0.25,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.537641591
CHE,0.2,0.4,0.3333333333333333,0.0,0.42857142857142855,0.4,,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.7002819
DJI,,,,0.3333333333333333,,0.0,0.3333333333333333,0.0,0.5,0.5,0.5,,0.25,0.3333333333333333,0.0,0.2,0.489840538
CHI,,,,,,,,,,,,,0.0,,0.0,,0.082213275
CHL,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.125,0.5,0.25,0.125,0.375,0.375,0.0,0.125,0.0,0.375,0.0,3.407716745
PRI,,,,,,0.375,,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.125,0.0,0.0,0.0,0.357700274
CHN,,,,0.2,0.5,0.25,0.0,0.25,0.5,0.375,0.375,0.0,0.625,0.3333333333333333,0.625,0.0,3.387053568
PRK,,,,0.0,0.3333333333333333,,0.0,,,,,0.0,,,,,0.197137454
SXM,,,,,0.0,,,,,,,,,,,,0.071361887
MLI,,,,0.0,0.5,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.2,0.0,0.2857142857142857,0.0,0.477868616
ADO,,,,0.3333333333333333,0.6666666666666666,,,0.0,0.0,0.0,0.0,,0.2,,0.4,,0.322411461
BWA,0.0,0.0,,0.0,0.0,0.25,0.5,0.42857142857142855,0.25,0.4,0.0,0.0,0.2857142857142857,0.0,0.42857142857142855,0.0,0.523807054
HRV,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736942598
KHM,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.125,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.0,0.0,0.722352869
IDN,0.5,0.0,0.0,0.0,0.4,0.25,0.2857142857142857,0.375,0.375,0.625,0.375,0.0,0.42857142857142855,0.0,0.42857142857142855,0.25,4.266230917
PRT,0.0,0.0,0.0,0.0,0.625,0.5,,0.0,0.0,0.0,0.0,0.3333333333333333,0.375,0.0,0.2857142857142857,0.0,0.595715528
MLT,0.0,0.0,0.0,0.0,0.42857142857142855,0.25,0.0,0.16666666666666666,0.16666666666666666,0.2,0.625,0.0,0.2857142857142857,0.0,0.2,0.0,0.552434794
TJK,,,,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.587917963
VNM,,,,0.2,0.2,0.0,0.125,0.0,0.0,0.0,0.6666666666666666,0.0,0.25,0.0,0.3333333333333333,0.0,0.639627773
CYM,0.0,0.0,0.0,,,,0.2,0.0,0.0,0.0,,,,,,,0.098705517
PRY,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.3333333333333333,0.375,0.5,0.539703692
CYP,0.0,0.0,0.0,0.25,0.5,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.14285714285714285,0.2857142857142857,0.3333333333333333,0.4,0.0,0.0,0.2,0.0,0.808731381
SYC,,,,0.0,0.0,0.25,0.0,0.2857142857142857,0.25,0.16666666666666666,0.16666666666666666,,0.25,0.0,0.14285714285714285,0.0,0.520410688
RWA,,,,0.0,0.5,0.2857142857142857,0.0,0.14285714285714285,0.0,0.16666666666666666,0.2857142857142857,,0.375,0.0,0.14285714285714285,0.0,1.573720934
BGD,,,,0.0,0.0,0.42857142857142855,0.25,0.0,0.42857142857142855,0.5,0.125,0.0,0.42857142857142855,0.25,0.42857142857142855,0.25,3.148000994
AUS,0.0,0.3333333333333333,0.0,0.25,0.2857142857142857,0.625,,0.42857142857142855,0.375,0.3333333333333333,0.375,0.0,0.25,0.0,0.375,0.0,0.648520794
AUT,0.0,0.25,0.0,0.25,0.5,0.25,,0.3333333333333333,0.0,0.2857142857142857,0.3333333333333333,0.0,0.25,0.0,0.25,0.0,1.713608037
NOC,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.604059111
LKA,0.5,0.3333333333333333,0.3333333333333333,0.0,0.625,0.16666666666666666,0.125,0.75,0.5,0.2857142857142857,0.375,0.0,0.16666666666666666,0.0,0.125,0.0,1.742343499
GAB,,,,0.0,,0.375,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.5714285714285714,0.0,0.762212728
ZWE,,,,0.0,0.3333333333333333,0.5,0.125,0.0,0.375,0.125,0.0,0.0,0.42857142857142855,0.5,0.42857142857142855,0.0,0.880395344
UMC,,,,0.0,0.25,0.0,0.25,0.125,0.42857142857142855,0.125,0.42857142857142855,0.0,0.25,0.0,0.0,0.0,0.600657045
BGR,0.0,0.0,0.0,0.0,0.625,0.3333333333333333,0.0,0.0,0.3333333333333333,,0.3333333333333333,0.0,0.25,0.0,0.16666666666666666,0.3333333333333333,0.672910343
EMU,0.14285714285714285,0.3333333333333333,0.5,0.4,0.625,0.25,0.25,0.0,0.0,0.2,0.5,0.0,0.25,0.5,0.25,0.0,4.454194362
SYR,,,,0.0,0.3333333333333333,0.2857142857142857,0.625,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,,0.125,,0.516291616
CZE,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,1.91345677
NOR,0.0,0.0,0.0,0.0,0.5714285714285714,0.14285714285714285,,0.14285714285714285,0.2,0.14285714285714285,0.0,0.0,0.375,0.3333333333333333,0.0,0.0,0.742218108
CIV,,,,0.0,,0.14285714285714285,0.375,0.2857142857142857,0.14285714285714285,0.25,0.14285714285714285,0.3333333333333333,0.25,0.0,0.375,0.0,0.589016268
PSS,,,,0.0,,0.6,0.25,0.0,0.0,0.3333333333333333,0.14285714285714285,,0.0,0.0,0.0,0.0,0.479288376
MMR,,,,0.0,0.0,,0.8571428571428571,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,,0.2857142857142857,,0.449560621
KIR,,,,0.5,,0.0,0.375,0.5,0.6666666666666666,0.2,0.6666666666666666,,0.2857142857142857,0.0,0.5714285714285714,0.0,0.579768735
TKM,,,,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.3333333333333333,0.0,0.563107786
GRD,,,,0.3333333333333333,,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,,0.25,0.0,0.0,0.0,0.48800927
GRC,0.0,0.0,0.0,0.0,0.125,0.25,,0.0,0.0,0.0,0.0,0.3333333333333333,0.5714285714285714,0.0,0.16666666666666666,0.0,0.640799033
HTI,,,,0.5,0.0,0.0,0.75,,,,,0.0,0.0,0.0,0.0,0.0,0.259137816
GRL,,,,,,,,,,,,,0.0,,0.0,,0.147698347
YEM,,,,0.2,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0,4.520491621
MNA,,,,0.0,0.0,0.3333333333333333,0.25,0.25,0.25,0.16666666666666666,0.375,0.0,0.375,0.0,0.3333333333333333,0.0,0.566890014
AFG,,,,0.3333333333333333,,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189497196
MNE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.613278716
MNG,0.0,0.0,0.0,0.25,0.0,0.4,0.0,0.25,0.16666666666666666,0.3333333333333333,0.0,0.25,0.2,0.25,0.2,0.25,0.564629568
NPL,,,,0.0,0.6,0.3333333333333333,0.0,0.14285714285714285,0.42857142857142855,0.5,0.5,0.0,0.14285714285714285,0.0,0.375,0.0,0.525146451
BHS,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.25,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.0,1.019760367
BHR,0.0,0.0,0.0,0.16666666666666666,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.5,0.0,0.5,0.557574086
MNP,,,,,,,0.0,,,,,,,,,,0.111519263
GBR,0.0,0.0,0.0,0.25,0.375,0.0,,0.0,0.0,0.0,0.3333333333333333,0.0,0.125,0.5,0.14285714285714285,0.0,0.587235156
DMA,,,,0.0,0.0,0.25,0.2,0.25,0.25,0.0,0.16666666666666666,,0.0,0.0,0.2857142857142857,0.0,1.50154344
WBG,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.265841636
BIH,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.807293953
HUN,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.928389613
LMC,,,,0.3333333333333333,0.42857142857142855,0.375,0.125,0.0,0.375,0.125,0.375,0.0,0.25,0.0,0.0,0.0,0.53404403
AGO,,,,0.0,,0.0,0.75,0.5,0.0,0.3333333333333333,0.0,0.0,0.5,,0.0,,0.811550952
OSS,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.16666666666666666,0.521229713
WSM,,,,0.0,0.0,,0.125,,,,,,0.0,0.0,0.0,0.0,0.31016824
NAC,0.0,0.0,0.0,0.5,0.125,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.25,0.25,0.0,0.552080851
FRA,0.5,0.3333333333333333,0.5,0.0,0.5,0.42857142857142855,,0.2857142857142857,0.25,0.125,0.625,0.0,0.5,0.0,0.14285714285714285,0.0,0.875616835
TMP,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125056283
LMY,,,,0.0,0.3333333333333333,0.14285714285714285,0.125,0.0,0.5714285714285714,0.25,0.375,0.0,0.375,0.0,0.14285714285714285,0.0,0.574530841
MOZ,,,,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3333333333333333,0.0,0.569711294
NAM,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.4,0.0,0.5,0.6666666666666666,0.0,0.0,0.16666666666666666,0.0,1.393459301
PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.14285714285714285,0.0,0.0,0.375,0.0,0.25,0.0,1.177081279
DNK,0.0,0.0,0.0,0.0,0.25,0.375,,0.0,0.3333333333333333,0.5,0.0,0.0,0.125,0.0,0.14285714285714285,0.0,0.615865745
GTM,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.5,0.0,0.735413976
FRO,,,,,,0.0,,,,0.0,0.0,,,,,,0.176066758
SLB,,,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.227541177
SLE,,,,0.25,0.0,0.2857142857142857,0.375,0.0,0.25,0.25,0.2,,0.16666666666666666,0.0,0.5,0.0,0.865347941
SLV,0.0,0.0,0.0,0.0,0.0,0.4,0.375,0.0,0.0,0.0,0.0,0.25,0.7142857142857143,0.25,0.3333333333333333,0.0,1.666477821
GUM,,,,,,,,,,,,,,,,,0.098223334
FSM,,,,0.4,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.430563424
DOM,0.5,0.0,0.0,0.0,0.16666666666666666,0.375,0.125,0.125,0.42857142857142855,0.2,0.25,0.0,0.14285714285714285,0.0,0.5,0.0,2.499688234
CMR,,,,0.2,,0.0,0.25,0.2,0.2857142857142857,0.4,0.2,0.0,0.625,0.0,0.5,0.0,0.540209813
GUY,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.2857142857142857,0.375,0.2857142857142857,0.25,0.4,0.2857142857142857,0.0,0.14285714285714285,0.0,1.050264403
AZE,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.749257632
OEC,0.0,0.0,0.0,0.0,0.5714285714285714,0.375,0.25,0.3333333333333333,0.0,0.0,0.25,0.0,0.2857142857142857,0.25,0.25,0.0,3.697298181
MAC,0.0,0.0,0.0,,0.25,0.0,0.6666666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.467323864
OED,0.0,0.0,0.0,0.0,0.2857142857142857,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.125,0.0,2.215567545
GEO,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.0,3.447507071
TON,,,,0.25,0.0,0.2,0.125,0.16666666666666666,0.0,0.0,0.14285714285714285,,0.0,0.0,0.2,0.3333333333333333,0.495801136
MAF,,,,,,,,,,,,,,,,,0.071562511
EAP,,,,0.0,0.3333333333333333,0.375,0.25,0.25,0.5,0.5,0.375,0.0,0.625,0.0,0.625,0.0,3.582159129
EAS,,,,0.3333333333333333,0.4,0.25,0.2857142857142857,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.375,0.25,0.375,0.0,0.513047999
NCL,,,,,,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.174307304
FCS,,,,0.0,,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.449873527
SMR,0.0,0.0,0.0,0.25,0.0,,,,,,,,0.0,,0.16666666666666666,,0.209010203
ERI,,,,0.0,,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.511563833
MAR,0.0,0.0,0.0,0.3333333333333333,0.25,0.0,0.375,0.0,0.3333333333333333,0.0,0.2,0.0,0.125,0.0,0.25,0.0,0.623857096
KNA,,,,0.3333333333333333,,0.3333333333333333,0.4,0.25,0.2,0.0,0.0,,0.0,0.0,0.0,0.0,0.405041943
VCT,,,,0.5,,0.0,0.3333333333333333,0.0,0.25,0.0,0.0,,0.2857142857142857,0.0,0.42857142857142855,0.0,0.354624792
BLR,,,,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.595803301
MRT,,,,0.0,,0.5,0.25,0.5,0.0,0.2,0.0,0.5,0.5,0.2,0.375,0.6,0.475347132
BLZ,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.3333333333333333,0.125,0.16666666666666666,0.687861423
PHL,0.0,0.0,0.0,0.25,0.5714285714285714,0.375,0.25,0.375,0.25,0.25,0.5,0.25,0.2857142857142857,0.3333333333333333,0.5,0.3333333333333333,3.725504725
COG,,,,0.0,,0.125,0.75,0.125,0.125,0.0,0.125,0.0,0.42857142857142855,0.0,0.5,0.0,0.500965505
PYF,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,,0.194024356
URY,0.0,0.0,0.0,0.0,0.125,0.125,0.75,0.2,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.2857142857142857,0.25,3.799915874
COM,,,,0.3333333333333333,,0.0,0.25,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.50528577
COL,0.0,0.3333333333333333,0.0,0.0,0.375,0.5,0.14285714285714285,0.0,0.0,0.3333333333333333,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0,0.0,3.426241449
USA,0.0,0.0,0.0,0.5,0.42857142857142855,0.2857142857142857,,0.0,0.0,0.3333333333333333,0.0,0.0,0.14285714285714285,0.25,0.14285714285714285,0.3333333333333333,0.590994014
ECA,,,,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502206298
ESP,0.0,0.0,0.25,0.0,0.2857142857142857,0.5,,0.0,0.3333333333333333,0.0,0.0,0.0,0.375,0.0,0.25,0.0,0.573380101
HIC,0.0,0.0,0.0,0.0,0.375,0.42857142857142855,0.125,0.0,0.0,0.0,0.0,0.25,0.125,0.42857142857142855,0.25,0.0,0.847369255
EST,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087079558
BMU,0.0,0.0,0.0,,,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,,0.25,0.0,0.5,0.0,0.407063576
